J2,BGA
1,HV5
2,HV4
3,HV6
4,HV7
5,NC
6,NC
7,Jx_VCCT
8,Jx_GNDT
9,GND
10,CH16
11,CH1
12,CH18
13,CH0
14,CH17
15,CH10
16,CH19
17,CH3
18,CH21
19,CH12
20,CH20
21,CH5
22,CH23
23,CH14
24,CH22
25,CH7
26,CH25
27,CH8
28,CH24
29,CH15
30,CH26
31,CH6
32,CH28
33,GND
34,GND
35,CH4
36,CH29
37,CH13
38,CH30
39,CH2
40,CH31
41,CH11
42,CH32
43,CH27
44,CH34
45,CH38
46,CH33
47,CH9
48,CH36
49,CH62
50,CH35
51,CH58
52,CH37
53,CH61
54,CH39
55,GND
56,GND
57,CH59
58,CH41
59,CH50
60,CH40
61,CH57
62,CH43
63,CH52
64,CH42
65,CH51
66,CH44
67,CH54
68,CH46
69,CH53
70,CH45
71,CH56
72,CH47
73,CH55
74,CH48
75,CH60
76,CH49
77,CH63
78,GND
79,GND
80,Jx_TEMP_SiPM
